log_name,drift_id,change_type,drift_type,complexity,change_point,log_size
log_1037_1708942957.xes,"['drift_1', 'drift_1', 'drift_2', 'drift_3']","['gradual_start', 'gradual_end', 'sudden', 'sudden']","['gradual', 'gradual', 'sudden', 'sudden']",,"[1825, 2320, 3672, 5189]",6725.0
log_1038_1708942959.xes,"['drift_1', 'drift_1', 'drift_2', 'drift_2']","['gradual_start', 'gradual_end', 'gradual_start', 'gradual_end']","['gradual', 'gradual', 'gradual', 'gradual']",,"[1582, 2136, 3841, 4282]",6019.0
log_1039_1708942967.xes,"['drift_1', 'drift_1', 'drift_2', 'drift_3']","['gradual_start', 'gradual_end', 'sudden', 'sudden']","['gradual', 'gradual', 'sudden', 'sudden']",,"[1620, 1954, 3341, 4390]",6373.0
log_103_1708942831.xes,"['drift_1', 'drift_2', 'drift_2']","['sudden', 'gradual_start', 'gradual_end']","['sudden', 'gradual', 'gradual']",,"[1145, 2981, 3282]",4774.0
log_1040_1708942977.xes,['drift_1'],['sudden'],['sudden'],,[1144],2370.0
log_1041_1708942979.xes,['drift_1'],['sudden'],['sudden'],,[1195],2607.0
log_1042_1708942980.xes,['drift_1'],['sudden'],['sudden'],,[1324],2603.0
log_1043_1708942982.xes,['drift_1'],['sudden'],['sudden'],,[1822],3295.0
log_1044_1708942989.xes,"['drift_1', 'drift_1']","['gradual_start', 'gradual_end']","['gradual', 'gradual']",,"[1041, 1612]",3443.0
log_1045_1708942991.xes,"['drift_1', 'drift_1', 'drift_2', 'drift_2']","['gradual_start', 'gradual_end', 'gradual_start', 'gradual_end']","['gradual', 'gradual', 'gradual', 'gradual']",,"[1162, 1596, 2708, 3098]",4638.0
log_1047_1708942998.xes,"['drift_1', 'drift_2']","['sudden', 'sudden']","['sudden', 'sudden']",,"[1236, 3109]",4803.0
log_1049_1708943012.xes,"['drift_1', 'drift_1']","['gradual_start', 'gradual_end']","['gradual', 'gradual']",,"[1620, 2069]",3562.0
log_104_1708942838.xes,"['drift_1', 'drift_2', 'drift_2', 'drift_3']","['sudden', 'gradual_start', 'gradual_end', 'sudden']","['sudden', 'gradual', 'gradual', 'sudden']",,"[1904, 3458, 3889, 5343]",7200.0
log_1050_1708943014.xes,"['drift_1', 'drift_2', 'drift_3']","['sudden', 'sudden', 'sudden']","['sudden', 'sudden', 'sudden']",,"[1613, 3411, 4821]",6771.0
log_1051_1708943029.xes,['drift_1'],['sudden'],['sudden'],,[1146],2731.0
log_1053_1708943033.xes,['drift_1'],['sudden'],['sudden'],,[1559],2902.0
log_1054_1708943035.xes,"['drift_1', 'drift_2', 'drift_2', 'drift_3', 'drift_3']","['sudden', 'gradual_start', 'gradual_end', 'gradual_start', 'gradual_end']","['sudden', 'gradual', 'gradual', 'gradual', 'gradual']",,"[1406, 2740, 3226, 4310, 4688]",6134.0
log_1055_1708943045.xes,"['drift_1', 'drift_2', 'drift_3', 'drift_3']","['sudden', 'sudden', 'gradual_start', 'gradual_end']","['sudden', 'sudden', 'gradual', 'gradual']",,"[1322, 2437, 3782, 4295]",5767.0
log_1056_1708943050.xes,"['drift_1', 'drift_2']","['sudden', 'sudden']","['sudden', 'sudden']",,"[1243, 2650]",4065.0
log_1058_1708943060.xes,"['drift_1', 'drift_2', 'drift_2']","['sudden', 'gradual_start', 'gradual_end']","['sudden', 'gradual', 'gradual']",,"[1081, 2854, 3319]",4949.0
log_105_1708942842.xes,"['drift_1', 'drift_1', 'drift_2']","['gradual_start', 'gradual_end', 'sudden']","['gradual', 'gradual', 'sudden']",,"[1708, 2203, 4162]",5933.0
log_1061_1708943071.xes,"['drift_1', 'drift_1', 'drift_2']","['gradual_start', 'gradual_end', 'sudden']","['gradual', 'gradual', 'sudden']",,"[1571, 2103, 3397]",5219.0
log_1062_1708943075.xes,['drift_1'],['sudden'],['sudden'],,[1049],2076.0
log_1063_1708943076.xes,['drift_1'],['sudden'],['sudden'],,[1089],2504.0
log_1064_1708943078.xes,"['drift_1', 'drift_1', 'drift_2', 'drift_2']","['gradual_start', 'gradual_end', 'gradual_start', 'gradual_end']","['gradual', 'gradual', 'gradual', 'gradual']",,"[1784, 2351, 3577, 4027]",5215.0
log_1065_1708942892.xes,"['drift_1', 'drift_2', 'drift_3', 'drift_3']","['sudden', 'sudden', 'gradual_start', 'gradual_end']","['sudden', 'sudden', 'gradual', 'gradual']",,"[1400, 2630, 3765, 4336]",6331.0
log_1067_1708942908.xes,"['drift_1', 'drift_2', 'drift_2', 'drift_3', 'drift_3']","['sudden', 'gradual_start', 'gradual_end', 'gradual_start', 'gradual_end']","['sudden', 'gradual', 'gradual', 'gradual', 'gradual']",,"[1443, 3140, 3618, 5182, 5528]",6917.0
log_1068_1708942915.xes,['drift_1'],['sudden'],['sudden'],,[1537],3332.0
log_1069_1708942918.xes,"['drift_1', 'drift_2', 'drift_3']","['sudden', 'sudden', 'sudden']","['sudden', 'sudden', 'sudden']",,"[1166, 2529, 3881]",5288.0
log_1071_1708942931.xes,"['drift_1', 'drift_1', 'drift_2', 'drift_2', 'drift_3']","['gradual_start', 'gradual_end', 'gradual_start', 'gradual_end', 'sudden']","['gradual', 'gradual', 'gradual', 'gradual', 'sudden']",,"[1309, 1621, 2627, 3128, 4462]",6181.0
log_1072_1708942947.xes,"['drift_1', 'drift_1', 'drift_2', 'drift_3', 'drift_3']","['gradual_start', 'gradual_end', 'sudden', 'gradual_start', 'gradual_end']","['gradual', 'gradual', 'sudden', 'gradual', 'gradual']",,"[1967, 2484, 3851, 4917, 5219]",7139.0
log_1073_1708942952.xes,['drift_1'],['sudden'],['sudden'],,[1859],2992.0
log_1074_1708942954.xes,['drift_1'],['sudden'],['sudden'],,[1510],2739.0
log_1075_1708942957.xes,"['drift_1', 'drift_1', 'drift_2', 'drift_2']","['gradual_start', 'gradual_end', 'gradual_start', 'gradual_end']","['gradual', 'gradual', 'gradual', 'gradual']",,"[1432, 1924, 3502, 4046]",5698.0
log_1076_1708942961.xes,"['drift_1', 'drift_2']","['sudden', 'sudden']","['sudden', 'sudden']",,"[1047, 2626]",3676.0
log_1077_1708942963.xes,"['drift_1', 'drift_2', 'drift_2']","['sudden', 'gradual_start', 'gradual_end']","['sudden', 'gradual', 'gradual']",,"[1994, 3200, 3745]",5016.0
log_1078_1708942966.xes,['drift_1'],['sudden'],['sudden'],,[1628],3098.0
log_1079_1708942969.xes,"['drift_1', 'drift_1', 'drift_2', 'drift_2']","['gradual_start', 'gradual_end', 'gradual_start', 'gradual_end']","['gradual', 'gradual', 'gradual', 'gradual']",,"[1154, 1515, 2815, 3173]",5048.0
log_107_1708942849.xes,"['drift_1', 'drift_2', 'drift_2', 'drift_3']","['sudden', 'gradual_start', 'gradual_end', 'sudden']","['sudden', 'gradual', 'gradual', 'sudden']",,"[1063, 2110, 2597, 3743]",5599.0
log_1080_1708942973.xes,"['drift_1', 'drift_1', 'drift_2']","['gradual_start', 'gradual_end', 'sudden']","['gradual', 'gradual', 'sudden']",,"[1891, 2208, 4181]",5329.0
log_1081_1708942983.xes,['drift_1'],['sudden'],['sudden'],,[1865],3691.0
log_1082_1708942988.xes,"['drift_1', 'drift_2', 'drift_2', 'drift_3', 'drift_3']","['sudden', 'gradual_start', 'gradual_end', 'gradual_start', 'gradual_end']","['sudden', 'gradual', 'gradual', 'gradual', 'gradual']",,"[1750, 2896, 3478, 4871, 5194]",6601.0
log_1083_1708942995.xes,"['drift_1', 'drift_1', 'drift_2', 'drift_3']","['gradual_start', 'gradual_end', 'sudden', 'sudden']","['gradual', 'gradual', 'sudden', 'sudden']",,"[1408, 1957, 3317, 5036]",6280.0
log_1085_1708943004.xes,"['drift_1', 'drift_1', 'drift_2']","['gradual_start', 'gradual_end', 'sudden']","['gradual', 'gradual', 'sudden']",,"[1255, 1844, 3102]",4829.0
log_1086_1708943011.xes,"['drift_1', 'drift_1']","['gradual_start', 'gradual_end']","['gradual', 'gradual']",,"[1871, 2380]",4002.0
log_1088_1708943022.xes,"['drift_1', 'drift_2', 'drift_2']","['sudden', 'gradual_start', 'gradual_end']","['sudden', 'gradual', 'gradual']",,"[1851, 2990, 3568]",4779.0
log_1089_1708943029.xes,"['drift_1', 'drift_2', 'drift_2', 'drift_3']","['sudden', 'gradual_start', 'gradual_end', 'sudden']","['sudden', 'gradual', 'gradual', 'sudden']",,"[1741, 2843, 3359, 5102]",6446.0
log_108_1708942855.xes,"['drift_1', 'drift_1', 'drift_2']","['gradual_start', 'gradual_end', 'sudden']","['gradual', 'gradual', 'sudden']",,"[1159, 1549, 3229]",4905.0
log_1090_1708943038.xes,"['drift_1', 'drift_1', 'drift_2']","['gradual_start', 'gradual_end', 'sudden']","['gradual', 'gradual', 'sudden']",,"[1690, 2206, 3516]",4791.0
log_1091_1708943045.xes,"['drift_1', 'drift_1']","['gradual_start', 'gradual_end']","['gradual', 'gradual']",,"[1737, 2245]",3938.0
log_1092_1708943050.xes,['drift_1'],['sudden'],['sudden'],,[1490],3394.0
log_1093_1708943051.xes,"['drift_1', 'drift_1', 'drift_2', 'drift_2', 'drift_3']","['gradual_start', 'gradual_end', 'gradual_start', 'gradual_end', 'sudden']","['gradual', 'gradual', 'gradual', 'gradual', 'sudden']",,"[1109, 1610, 3383, 3772, 5669]",6978.0
log_1094_1708943053.xes,"['drift_1', 'drift_1', 'drift_2']","['gradual_start', 'gradual_end', 'sudden']","['gradual', 'gradual', 'sudden']",,"[1777, 2078, 3797]",5001.0
log_1095_1708943057.xes,"['drift_1', 'drift_1', 'drift_2', 'drift_3']","['gradual_start', 'gradual_end', 'sudden', 'sudden']","['gradual', 'gradual', 'sudden', 'sudden']",,"[1857, 2326, 4176, 6044]",7172.0
log_1096_1708943060.xes,"['drift_1', 'drift_1']","['gradual_start', 'gradual_end']","['gradual', 'gradual']",,"[1636, 2100]",3668.0
log_1097_1708943062.xes,"['drift_1', 'drift_1', 'drift_2', 'drift_2']","['gradual_start', 'gradual_end', 'gradual_start', 'gradual_end']","['gradual', 'gradual', 'gradual', 'gradual']",,"[1425, 1939, 3084, 3662]",4943.0
log_1098_1708943068.xes,['drift_1'],['sudden'],['sudden'],,[1500],3421.0
log_1099_1708943070.xes,"['drift_1', 'drift_1']","['gradual_start', 'gradual_end']","['gradual', 'gradual']",,"[1312, 1872]",3662.0
log_109_1708942861.xes,"['drift_1', 'drift_2', 'drift_2']","['sudden', 'gradual_start', 'gradual_end']","['sudden', 'gradual', 'gradual']",,"[1938, 3761, 4290]",5919.0
log_10_1708942765.xes,"['drift_1', 'drift_1']","['gradual_start', 'gradual_end']","['gradual', 'gradual']",,"[1659, 2151]",3360.0
log_1100_1708943077.xes,['drift_1'],['sudden'],['sudden'],,[1223],2235.0
log_1101_1708943078.xes,"['drift_1', 'drift_2', 'drift_2']","['sudden', 'gradual_start', 'gradual_end']","['sudden', 'gradual', 'gradual']",,"[1832, 3044, 3579]",4607.0
log_1102_1708943080.xes,"['drift_1', 'drift_1', 'drift_2']","['gradual_start', 'gradual_end', 'sudden']","['gradual', 'gradual', 'sudden']",,"[1947, 2434, 3564]",4600.0
log_1103_1708942893.xes,['drift_1'],['sudden'],['sudden'],,[1097],2953.0
log_1104_1708942895.xes,"['drift_1', 'drift_2', 'drift_3']","['sudden', 'sudden', 'sudden']","['sudden', 'sudden', 'sudden']",,"[1933, 3406, 4971]",6950.0
log_1106_1708942905.xes,"['drift_1', 'drift_1', 'drift_2', 'drift_2']","['gradual_start', 'gradual_end', 'gradual_start', 'gradual_end']","['gradual', 'gradual', 'gradual', 'gradual']",,"[1377, 1748, 3234, 3785]",5654.0
log_1107_1708942912.xes,"['drift_1', 'drift_2']","['sudden', 'sudden']","['sudden', 'sudden']",,"[1836, 3777]",5356.0
log_1108_1708942920.xes,['drift_1'],['sudden'],['sudden'],,[1367],3124.0
log_1109_1708942923.xes,"['drift_1', 'drift_2', 'drift_3']","['sudden', 'sudden', 'sudden']","['sudden', 'sudden', 'sudden']",,"[1630, 3466, 5028]",6735.0
log_110_1708942867.xes,"['drift_1', 'drift_1', 'drift_2', 'drift_3', 'drift_3']","['gradual_start', 'gradual_end', 'sudden', 'gradual_start', 'gradual_end']","['gradual', 'gradual', 'sudden', 'gradual', 'gradual']",,"[1725, 2050, 3816, 5601, 6023]",7064.0
log_1110_1708942930.xes,"['drift_1', 'drift_1', 'drift_2', 'drift_2', 'drift_3', 'drift_3']","['gradual_start', 'gradual_end', 'gradual_start', 'gradual_end', 'gradual_start', 'gradual_end']","['gradual', 'gradual', 'gradual', 'gradual', 'gradual', 'gradual']",,"[1849, 2248, 3900, 4362, 5512, 6065]",7693.0
log_1111_1708942936.xes,"['drift_1', 'drift_2', 'drift_2']","['sudden', 'gradual_start', 'gradual_end']","['sudden', 'gradual', 'gradual']",,"[1601, 2671, 2996]",4931.0
log_1112_1708942954.xes,['drift_1'],['sudden'],['sudden'],,[1550],3421.0
log_1115_1708942965.xes,"['drift_1', 'drift_1']","['gradual_start', 'gradual_end']","['gradual', 'gradual']",,"[1410, 1754]",3314.0
log_1116_1708942966.xes,"['drift_1', 'drift_1', 'drift_2']","['gradual_start', 'gradual_end', 'sudden']","['gradual', 'gradual', 'sudden']",,"[1477, 1827, 3256]",4563.0
log_1118_1708942975.xes,"['drift_1', 'drift_1']","['gradual_start', 'gradual_end']","['gradual', 'gradual']",,"[1904, 2465]",4334.0
log_1119_1708942980.xes,"['drift_1', 'drift_2']","['sudden', 'sudden']","['sudden', 'sudden']",,"[1017, 2064]",3337.0
log_111_1708942873.xes,"['drift_1', 'drift_2']","['sudden', 'sudden']","['sudden', 'sudden']",,"[1678, 2901]",3920.0
log_1120_1708942985.xes,"['drift_1', 'drift_1', 'drift_2']","['gradual_start', 'gradual_end', 'sudden']","['gradual', 'gradual', 'sudden']",,"[1647, 2090, 3560]",5244.0
log_1122_1708942992.xes,['drift_1'],['sudden'],['sudden'],,[1338],2826.0
log_1123_1708942997.xes,"['drift_1', 'drift_1']","['gradual_start', 'gradual_end']","['gradual', 'gradual']",,"[1781, 2109]",3735.0
log_1124_1708942999.xes,"['drift_1', 'drift_2', 'drift_2']","['sudden', 'gradual_start', 'gradual_end']","['sudden', 'gradual', 'gradual']",,"[1960, 3018, 3323]",4599.0
log_1128_1708943011.xes,['drift_1'],['sudden'],['sudden'],,[1332],2889.0
log_112_1708942876.xes,"['drift_1', 'drift_1', 'drift_2', 'drift_2', 'drift_3', 'drift_3']","['gradual_start', 'gradual_end', 'gradual_start', 'gradual_end', 'gradual_start', 'gradual_end']","['gradual', 'gradual', 'gradual', 'gradual', 'gradual', 'gradual']",,"[1709, 2009, 3390, 3975, 5276, 5829]",7736.0
log_1130_1708943017.xes,"['drift_1', 'drift_1', 'drift_2', 'drift_2', 'drift_3']","['gradual_start', 'gradual_end', 'gradual_start', 'gradual_end', 'sudden']","['gradual', 'gradual', 'gradual', 'gradual', 'sudden']",,"[1757, 2088, 3524, 3979, 5412]",6498.0
log_1131_1708943022.xes,"['drift_1', 'drift_1']","['gradual_start', 'gradual_end']","['gradual', 'gradual']",,"[1620, 2070]",3814.0
log_1132_1708943029.xes,"['drift_1', 'drift_1']","['gradual_start', 'gradual_end']","['gradual', 'gradual']",,"[1969, 2369]",3881.0
log_1133_1708943033.xes,"['drift_1', 'drift_1']","['gradual_start', 'gradual_end']","['gradual', 'gradual']",,"[1333, 1932]",3437.0
log_1134_1708943035.xes,"['drift_1', 'drift_2', 'drift_3']","['sudden', 'sudden', 'sudden']","['sudden', 'sudden', 'sudden']",,"[1213, 3090, 4249]",5789.0
log_1135_1708943042.xes,['drift_1'],['sudden'],['sudden'],,[1032],2363.0
log_1136_1708943043.xes,"['drift_1', 'drift_2', 'drift_3']","['sudden', 'sudden', 'sudden']","['sudden', 'sudden', 'sudden']",,"[1951, 3126, 4438]",6398.0
log_1137_1708943051.xes,['drift_1'],['sudden'],['sudden'],,[1545],2655.0
log_1139_1708943057.xes,"['drift_1', 'drift_1', 'drift_2', 'drift_2']","['gradual_start', 'gradual_end', 'gradual_start', 'gradual_end']","['gradual', 'gradual', 'gradual', 'gradual']",,"[1646, 2016, 3953, 4526]",6347.0
log_113_1708942882.xes,"['drift_1', 'drift_1', 'drift_2', 'drift_3', 'drift_3']","['gradual_start', 'gradual_end', 'sudden', 'gradual_start', 'gradual_end']","['gradual', 'gradual', 'sudden', 'gradual', 'gradual']",,"[1285, 1884, 3751, 4795, 5188]",6923.0
log_1140_1708943060.xes,"['drift_1', 'drift_1']","['gradual_start', 'gradual_end']","['gradual', 'gradual']",,"[1378, 1770]",3563.0
log_1141_1708942896.xes,['drift_1'],['sudden'],['sudden'],,[1758],3220.0
log_1142_1708942901.xes,"['drift_1', 'drift_1', 'drift_2', 'drift_3']","['gradual_start', 'gradual_end', 'sudden', 'sudden']","['gradual', 'gradual', 'sudden', 'sudden']",,"[1534, 2084, 3275, 5069]",6892.0
log_1144_1708942911.xes,"['drift_1', 'drift_1']","['gradual_start', 'gradual_end']","['gradual', 'gradual']",,"[1665, 2029]",3239.0
log_1145_1708942914.xes,"['drift_1', 'drift_1', 'drift_2', 'drift_3']","['gradual_start', 'gradual_end', 'sudden', 'sudden']","['gradual', 'gradual', 'sudden', 'sudden']",,"[1898, 2428, 3691, 5262]",6327.0
log_1146_1708942920.xes,"['drift_1', 'drift_1', 'drift_2', 'drift_2', 'drift_3', 'drift_3']","['gradual_start', 'gradual_end', 'gradual_start', 'gradual_end', 'gradual_start', 'gradual_end']","['gradual', 'gradual', 'gradual', 'gradual', 'gradual', 'gradual']",,"[1185, 1757, 3435, 4018, 5411, 5897]",7401.0
log_1147_1708942928.xes,"['drift_1', 'drift_1', 'drift_2']","['gradual_start', 'gradual_end', 'sudden']","['gradual', 'gradual', 'sudden']",,"[1602, 2045, 3879]",5835.0
log_1148_1708942935.xes,"['drift_1', 'drift_2', 'drift_3', 'drift_3']","['sudden', 'sudden', 'gradual_start', 'gradual_end']","['sudden', 'sudden', 'gradual', 'gradual']",,"[1954, 3767, 5359, 5823]",7720.0
log_1150_1708942952.xes,"['drift_1', 'drift_1', 'drift_2']","['gradual_start', 'gradual_end', 'sudden']","['gradual', 'gradual', 'sudden']",,"[1785, 2113, 3480]",5199.0
log_1151_1708942958.xes,"['drift_1', 'drift_1']","['gradual_start', 'gradual_end']","['gradual', 'gradual']",,"[1926, 2353]",3519.0
log_1153_1708942963.xes,"['drift_1', 'drift_1', 'drift_2']","['gradual_start', 'gradual_end', 'sudden']","['gradual', 'gradual', 'sudden']",,"[1148, 1656, 2686]",3827.0
log_1155_1708942969.xes,['drift_1'],['sudden'],['sudden'],,[1476],3279.0
log_1156_1708942971.xes,"['drift_1', 'drift_2', 'drift_2']","['sudden', 'gradual_start', 'gradual_end']","['sudden', 'gradual', 'gradual']",,"[1358, 3081, 3559]",5533.0
log_1158_1708942982.xes,"['drift_1', 'drift_1', 'drift_2', 'drift_2']","['gradual_start', 'gradual_end', 'gradual_start', 'gradual_end']","['gradual', 'gradual', 'gradual', 'gradual']",,"[1365, 1721, 3282, 3875]",5673.0
log_1159_1708942985.xes,"['drift_1', 'drift_1', 'drift_2', 'drift_3', 'drift_3']","['gradual_start', 'gradual_end', 'sudden', 'gradual_start', 'gradual_end']","['gradual', 'gradual', 'sudden', 'gradual', 'gradual']",,"[1034, 1618, 2913, 4652, 5157]",6432.0
log_1160_1708942991.xes,"['drift_1', 'drift_2', 'drift_3']","['sudden', 'sudden', 'sudden']","['sudden', 'sudden', 'sudden']",,"[1768, 2982, 4642]",5860.0
log_1161_1708942993.xes,"['drift_1', 'drift_1']","['gradual_start', 'gradual_end']","['gradual', 'gradual']",,"[1752, 2166]",3915.0
log_1162_1708942996.xes,"['drift_1', 'drift_2', 'drift_3']","['sudden', 'sudden', 'sudden']","['sudden', 'sudden', 'sudden']",,"[1376, 2909, 4462]",5853.0
log_1163_1708943003.xes,"['drift_1', 'drift_1']","['gradual_start', 'gradual_end']","['gradual', 'gradual']",,"[1773, 2218]",3299.0
log_1165_1708943010.xes,['drift_1'],['sudden'],['sudden'],,[1697],3367.0
log_1167_1708943016.xes,"['drift_1', 'drift_2', 'drift_2', 'drift_3', 'drift_3']","['sudden', 'gradual_start', 'gradual_end', 'gradual_start', 'gradual_end']","['sudden', 'gradual', 'gradual', 'gradual', 'gradual']",,"[1812, 3283, 3673, 5235, 5671]",7531.0
log_1168_1708943034.xes,"['drift_1', 'drift_2', 'drift_3']","['sudden', 'sudden', 'sudden']","['sudden', 'sudden', 'sudden']",,"[1602, 2750, 3807]",5458.0
log_1170_1708943052.xes,"['drift_1', 'drift_1']","['gradual_start', 'gradual_end']","['gradual', 'gradual']",,"[1638, 2138]",3214.0
log_1172_1708943057.xes,"['drift_1', 'drift_2', 'drift_3']","['sudden', 'sudden', 'sudden']","['sudden', 'sudden', 'sudden']",,"[1526, 2738, 4489]",6122.0
log_1174_1708943070.xes,"['drift_1', 'drift_2']","['sudden', 'sudden']","['sudden', 'sudden']",,"[1240, 2934]",4321.0
log_1175_1708943075.xes,"['drift_1', 'drift_2', 'drift_2']","['sudden', 'gradual_start', 'gradual_end']","['sudden', 'gradual', 'gradual']",,"[1929, 2979, 3419]",4902.0
